id,regnum,website,IsValid,facebooklink,linkedinlink,twitterlink,youtubelink
1,107577223RR0001,WWW.KOPERNIK-FOUNDATION.ORG,Valid,,,,
2,107577348RR0001,WWW.KBCV.CA,Valid,,,,
3,107577413RR0001,WWW.KOREANCENTRE.ON.CA,Invalid,,,,
4,107577587RR0002,WWW.STJUNGHASANG.COM,Valid,,,,
5,107577637RR0001,HTTP://WWW.KUCWINDSOR.ORG,Invalid,,,,
6,107578817RR0001,KSAN.ORG,Valid,,,,
7,107579674RR0001,WWW.KWAG.ON.CA,Valid,http://www.facebook.com/#!/kwartgallerypage,,,http://www.youtube.com/user/kwagadmin
8,107579732RR0001,WWW.KWCF.ORG,Valid,http://www.facebook.com/kwcfchurch,,http://www.twitter.com/kwcfchurch,http://www.youtube.com/kwcfchurch
9,107579815RR0001,KWHAB.CA,Valid,http://www.facebook.com/KWHabilitation,,,http://www.youtube.com/user/KWHabilitation
10,107579823RR0001,WWW.GRANDRIVERHOSPITAL.ON.CA,Valid,,,,
11,107580664RR0001,WWW.NORTHHATLEYLIBRARY.QC.CA,Invalid,,,,
12,107580706RR0001,WWW.LABOITEASOLEIL.CA,Valid,,,,
13,107581308RR0001,LCSPEEL.CA,Valid,https://www.facebook.com/LabourCommunityServicesOfPeel?ref=hl,,,
14,107581779RR0001,WWW.ACADEMIE.STE-THERESE.COM,Invalid,,,,
15,107582876RR0001,WWW.LACDUBONNETLIBRARY.CA,Valid,,,,
16,107583338RR0001,397 RUE PRINCIPALE,Invalid,,,,
17,107583684RR0001,WWW.ABC02.ORG,Valid,,,,
18,107584443RR0001,WWW.LACOMELIBRARY.ORG,Invalid,,,,
19,107584989RR0001,LACORDEERASM.ORG,Valid,,,,
20,107585085RR0001,WWW.PADIOCESE.SK.CA,Invalid,,,,
21,107585085RR0006,WWW.STJOSEPHCAL.CATHOLICWEB.COM,Invalid,,,,
22,107585085RR0047,WWW.STTHERESAWAKAW.COM,Valid,,,,
23,107585226RR0001,WWW.POLYMTL.CA,Valid,http://www.facebook.com/polymtl/,,,http://www.youtube.com/user/polymtlvideos/
